Date,Requests,DataSent
2009-01-01-00,3293,56594384
2009-01-01-01,12251025,201930483807
2009-01-01-02,11870465,198330759724
2009-01-01-03,11451424,193303259652
2009-01-01-04,11124427,187264091869
2009-01-01-05,10753420,181344945051
2009-01-01-06,10502434,186439873715
2009-01-01-07,10119563,173016729310
2009-01-01-08,10195193,172962636610
2009-01-01-09,10225225,175244095699
2009-01-01-10,10849001,181410276798
2009-01-01-11,11689363,191872440154
2009-01-01-12,12819240,206913617950
2009-01-01-13,13565953,225326135167
2009-01-01-14,14652497,239185134988
2009-01-01-15,15704714,256144221496
2009-01-01-16,16373354,266804291536
2009-01-01-17,17004169,276174735278
2009-01-01-18,17425948,279903122244
2009-01-01-19,17537282,281178933733
2009-01-01-20,17656760,284401141637
2009-01-01-21,17921337,288031829456
2009-01-01-22,17837436,286993873396
2009-01-01-23,17695275,284662976487
2009-01-02-00,16864485,273696748246
2009-01-02-01,15991431,259797341540
2009-01-02-02,15108871,248333876282
2009-01-02-03,14327654,238842863120
2009-01-02-04,13828175,232656493359
2009-01-02-05,13448966,228163899547
2009-01-02-06,13321628,227061973542
2009-01-02-07,13099145,221543400629
2009-01-02-08,13068370,223929064354
2009-01-02-09,13337953,232875156227
2009-01-02-10,14330944,250333246209
2009-01-02-11,15529836,259786330279
2009-01-02-12,16320220,272137686953
2009-01-02-13,16504373,279926560144
2009-01-02-14,17107432,292163428135
2009-01-02-15,18071652,309716435397
2009-01-02-16,18444394,314641244191
2009-01-02-17,18624937,314167851872
2009-01-02-18,18631157,311770427951
2009-01-02-19,18619114,312804775096
2009-01-02-20,18818891,315618872784
2009-01-02-21,19164259,320475152128
2009-01-02-22,18312499,303809924260
2009-01-02-23,16331691,273637845729
2009-01-03-00,15636287,263313393032
2009-01-03-01,16062462,264488737943
2009-01-03-02,15485188,259169479747
2009-01-03-03,15290125,259493514935
2009-01-03-04,15016413,253553233110
2009-01-03-05,14696723,247453436309
2009-01-03-06,14065764,240746246109
2009-01-03-07,13616356,231125401210
2009-01-03-08,13166551,222041232343
2009-01-03-09,13451026,226514488337
2009-01-03-10,14274128,236284451411
2009-01-03-11,15193908,243958465912
2009-01-03-12,16100380,257261903926
2009-01-03-13,16412702,265365855871
2009-01-03-14,17489746,282409401024
2009-01-03-15,18197004,295374289106
2009-01-03-16,19003041,315349008353
2009-01-03-17,19565497,317327330146
2009-01-03-18,19900077,319846751960
2009-01-03-19,19711459,315880540554
2009-01-03-20,19666849,315316431859
2009-01-03-21,20075503,321109562954
2009-01-03-22,19934180,318326439992
2009-01-03-23,19352772,309117427789
2009-01-04-00,18098488,295724741140
2009-01-04-01,17377992,282962478355
2009-01-04-02,16640999,272988391737
2009-01-04-03,15589148,257855195402
2009-01-04-04,14847387,247428448164
2009-01-04-05,14489890,242477275724
